trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.55, 'e': 0.8588575501216549}",25,0,-148.63171715753683,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
78,False,"{'a': 0.55, 'e': 0.8571398350214117}",25,0,-22.451420756091633,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.55, 'e': 0.8554255553513688}",20,0,-46.629119020319735,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
80,False,"{'a': 0.55, 'e': 0.8537147042406661}",20,0,-104.58450238968709,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
81,False,"{'a': 0.55, 'e': 0.8520072748321847}",20,0,-150.1657347274495,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
82,False,"{'a': 0.55, 'e': 0.8503032602825203}",20,0,-112.67260463923643,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
83,False,"{'a': 0.55, 'e': 0.8486026537619553}",20,0,-63.4863606248579,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.55, 'e': 0.8469054484544314}",20,0,-174.75594770377452,"{0: 6, 1: 4, 2: 8, 3: 0, 4: 2}",0
85,False,"{'a': 0.55, 'e': 0.8452116375575225}",25,0,-61.626203929064516,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.55, 'e': 0.8435212142824074}",25,0,-56.67584901996887,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.55, 'e': 0.8418341718538427}",25,0,-82.76287395827661,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.55, 'e': 0.840150503510135}",25,0,-57.88950550818359,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.55, 'e': 0.8384702025031148}",20,0,-113.84742192600746,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
90,False,"{'a': 0.55, 'e': 0.8367932620981084}",20,10,-29.33709239569138,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.55, 'e': 0.8351196755739123}",35,12,-139.18372676031566,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 1}",1
92,False,"{'a': 0.55, 'e': 0.8334494362227645}",25,0,-73.88977934674223,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
